                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.87011,                0.73962,                 1.0426,                0.89393,                0.80693,                0.88449,                0.72732,                0.75833,                0.55812,                0.94042,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     59,                0.89587,                0.76139,                 1.0624,                0.88655,                0.81062,                0.88651,                0.72785,                0.75595,                0.55487,                0.93975,              5.067e-05,              5.067e-05,              5.067e-05
                     60,                0.85005,                0.71564,                 1.0528,                0.89167,                0.80953,                0.88917,                0.72728,                 0.7538,                0.55373,                0.93889,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     61,                0.87042,                0.73121,                 1.0333,                0.84441,                0.84237,                0.88397,                0.72833,                0.75119,                0.55019,                0.93795,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     62,                0.81635,                 0.7265,                  1.029,                0.86625,                0.83051,                0.88433,                 0.7299,                0.74918,                0.54569,                0.93713,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     63,                0.86548,                0.74702,                 1.0394,                0.89996,                0.81731,                0.88656,                0.73198,                0.74439,                0.53977,                 0.9351,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     64,                  0.906,                0.73976,                  1.035,                 0.9025,                0.80955,                 0.8857,                0.73205,                0.74246,                 0.5365,                0.93421,              4.478e-05,              4.478e-05,              4.478e-05
                     65,                0.85527,                0.71844,                 1.0474,                0.90876,                0.80512,                0.88461,                0.73362,                0.74042,                0.53471,                 0.9334,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     66,                0.86339,                0.72255,                 1.0416,                0.90632,                0.81218,                0.88615,                0.73432,                0.73932,                0.53767,                0.93207,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     67,                0.83821,                0.70497,                 1.0433,                0.92699,                0.80451,                 0.8857,                0.73599,                0.73812,                0.54029,                0.93138,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     68,                0.87518,                0.75506,                 1.0407,                0.92961,                0.80633,                0.88592,                0.73591,                0.73712,                0.54354,                0.93044,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     69,                0.81235,                0.68746,                  1.027,                0.89346,                0.82525,                0.88812,                 0.7363,                0.73661,                0.54284,                0.93053,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     70,                0.86149,                0.72214,                 1.0375,                0.90061,                0.82349,                0.88855,                0.73721,                0.73336,                0.54169,                0.92964,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     71,                0.83521,                0.68742,                 1.0284,                0.89744,                0.81634,                0.88263,                  0.735,                0.73308,                0.53864,                0.92918,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     72,                0.82487,                0.68907,                 1.0359,                0.89989,                0.81443,                0.88218,                0.73756,                0.73176,                0.53818,                0.92798,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     73,                0.80788,                 0.6685,                 1.0274,                0.91099,                0.81958,                 0.8896,                0.73984,                0.72928,                0.53428,                0.92727,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     74,                0.85069,                0.72051,                 1.0304,                0.89735,                0.82713,                0.89076,                0.73783,                0.72664,                0.53211,                0.92617,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     75,                0.84154,                0.70556,                 1.0426,                0.89199,                  0.832,                0.88993,                 0.7391,                0.72299,                 0.5293,                0.92468,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     76,                0.84912,                0.68336,                 1.0349,                 0.8915,                0.83186,                0.88872,                0.73831,                0.72065,                 0.5251,                 0.9233,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     77,                0.85621,                0.69461,                 1.0161,                0.89933,                0.82304,                0.89004,                0.73811,                0.71948,                0.52478,                0.92288,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     78,                 0.8512,                0.70473,                 1.0336,                0.90704,                0.82067,                0.88931,                0.73968,                0.71857,                0.52225,                0.92214,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     79,                0.82746,                0.68548,                 1.0213,                0.90954,                0.81596,                0.89051,                0.74236,                 0.7169,                 0.5213,                0.92193,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     80,                0.84884,                0.69476,                 1.0318,                0.91157,                0.81763,                0.89155,                0.74294,                0.71677,                0.52099,                 0.9216,              2.593e-05,              2.593e-05,              2.593e-05
                     81,                0.83351,                  0.689,                  1.022,                0.90988,                0.81901,                0.89138,                0.74262,                0.71636,                0.52026,                0.92144,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     82,                 0.8387,                0.69096,                 1.0262,                0.90939,                0.81794,                0.89103,                0.74581,                0.71524,                0.52033,                0.92143,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     83,                0.82857,                0.67941,                 1.0251,                 0.9076,                0.82052,                0.89014,                0.74409,                0.71374,                0.51889,                0.92097,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     84,                  0.827,                0.70393,                 1.0263,                0.90806,                0.82474,                 0.8918,                0.74723,                0.71222,                0.51817,                0.92031,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     85,                0.83358,                0.68959,                 1.0307,                0.90936,                0.82195,                0.89153,                 0.7485,                0.70971,                0.51922,                0.91964,              2.004e-05,              2.004e-05,              2.004e-05
                     86,                0.79961,                0.68206,                 1.0189,                0.90887,                0.82516,                0.89288,                0.74763,                0.70903,                0.51974,                0.91936,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     87,                 0.8478,                0.68672,                 1.0432,                0.91199,                0.82131,                0.89283,                0.74672,                0.70751,                 0.5204,                0.91858,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     88,                0.83069,                0.67918,                 1.0098,                0.90789,                0.82373,                0.89357,                 0.7469,                0.70677,                0.52018,                0.91818,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     89,                0.87734,                0.71143,                 1.0317,                0.90025,                0.82709,                0.89474,                0.74791,                0.70671,                0.51951,                0.91807,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     90,                0.82198,                0.69634,                 1.0312,                0.90478,                0.82443,                0.89356,                0.74736,                0.70463,                0.51888,                0.91716,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     91,                0.81022,                0.66358,                 1.0313,                0.91537,                0.82421,                0.89374,                0.74778,                0.70508,                0.51873,                0.91661,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     92,                  0.794,                0.66892,                 1.0316,                0.91845,                0.82096,                0.89538,                0.74888,                0.70464,                0.51633,                0.91635,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     93,                0.78769,                0.65437,                 1.0059,                0.91877,                0.82088,                0.89518,                0.74935,                0.70388,                0.51645,                0.91604,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     94,                0.77647,                0.66744,                 1.0395,                0.92034,                0.81997,                0.89369,                 0.7469,                0.70422,                 0.5158,                0.91573,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     95,                0.81107,                0.68205,                 1.0213,                 0.9189,                0.81823,                0.89389,                0.74872,                0.70275,                0.51493,                0.91539,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     96,                0.79202,                0.65547,                 1.0081,                0.90954,                0.82257,                0.89343,                0.74861,                0.70288,                0.51399,                0.91555,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     97,                0.84722,                0.67768,                 1.0438,                0.90951,                0.82325,                0.89532,                 0.7496,                0.70318,                0.51419,                0.91541,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     98,                0.77844,                0.64358,                 1.0227,                0.90824,                0.82454,                0.89363,                0.74915,                0.70267,                0.51261,                0.91541,             4.7243e-06,             4.7243e-06,             4.7243e-06
                     99,                0.86603,                0.70911,                 1.0352,                0.91453,                0.81886,                0.89545,                0.74754,                0.70265,                0.51114,                0.91532,             3.5462e-06,             3.5462e-06,             3.5462e-06
